,암호화카드번호,버스노선ID1,버스노선ID2,버스노선ID3,버스노선ID4,버스노선ID5,총통행거리,총탑승시간,총소요시간,승차역ID1,승차역ID2,승차역ID3,승차역ID4,승차역ID5,하차역ID1,하차역ID2,하차역ID3,하차역ID4,하차역ID5,최초승차일시,최종하차일시,최초승차역ID,최종하차역ID,총이용금액,수집건수,총이용객수,사용자구분
31673,900491941020,46,3,32-3,,,8920,29,29,4107946.0,4170100.0,4116835.0,,,,,,,,20180703093644,20180703101456 ,4107946.0,4116942.0,1250,3,1,1
31675,900491946103,112,88,202,,,8610,42,42,4117287.0,4170101.0,4116922.0,,,,,,,,20180703132434,20180703143729 ,4117287.0,4179358.0,1250,3,1,1
31679,900510543363,301,333,350,,,25480,47,47,4103625.0,4108192.0,4100164.0,,,,,,,,20180703082258,20180703092411 ,4103625.0,4199085.0,2400,3,1,1
31686,900518050315,52,909,62-1,,,27420,67,67,4111939.0,4116097.0,4117264.0,,,,,,,,20180703194220,20180703210008 ,4111939.0,4160266.0,2050,3,1,1
31687,900093921282,6003,116-1,708,,,29290,48,48,4199824.0,4130120.0,4195716.0,,,,,,,,20180703173601,20180703183516 ,4199824.0,4117236.0,2400,3,1,1
31689,900095646882,5-1,202,92,,,5830,15,15,4151723.0,4100048.0,4117059.0,,,,,,,,20180703111239,20180703113732 ,4151723.0,4117024.0,1250,3,1,1
31691,900095649468,720-1,55,720-1,,,9230,31,31,4100443.0,4100535.0,4100458.0,,,,,,,,20180703114942,20180703125247 ,4100443.0,4100444.0,1250,3,1,1
31692,900179571318,13-1,310,116-2,,,8760,35,35,4198877.0,4108216.0,4108213.0,,,,,,,,20180703171131,20180703175246 ,4198877.0,4151542.0,1250,3,1,1
31693,900526246157,13-1,9-1,13-4,,,7590,28,28,4108226.0,4116853.0,4170093.0,,,,,,,,20180703060911,20180703064611 ,4108226.0,4116962.0,1250,3,1,1
31694,900526246157,720-2,92,13-1,,,9290,40,40,4117072.0,4116760.0,4108053.0,,,,,,,,20180703190940,20180703201148 ,4117072.0,4160311.0,1250,3,1,1
31698,100503707731,720-2,13-5,99-2,,,5320,14,14,4117064.0,4116955.0,4117265.0,,,,,,,,20180703081859,20180703084017 ,4117064.0,4160266.0,1250,3,1,1
31701,900507278267,720,720-1,720-2,,,14430,51,51,4100565.0,4111812.0,4150135.0,,,,,,,,20180703080922,20180703090725 ,4100565.0,4112031.0,1350,3,1,1
31706,900453258239,250,720-1,3-1,,,5390,16,16,4135089.0,4110259.0,4100443.0,,,,,,,,20180703202308,20180703204916 ,4135089.0,4100448.0,1250,3,1,1
31707,900453275377,83-1,720-1,13-4,,,7600,35,35,4117059.0,4116895.0,4116899.0,,,,,,,,20180703080147,20180703084706 ,4117059.0,4112032.0,1250,3,1,1
31708,900109089036,13-1,99-2,10-5,,,7130,33,33,4116867.0,4108053.0,4170112.0,,,,,,,,20180703100643,20180703110946 ,4116867.0,4116887.0,1250,3,1,1
31709,900109104673,61,32-5,92,,,6120,27,27,4100102.0,4107935.0,4170093.0,,,,,,,,20180703171940,20180703180120 ,4100102.0,4105383.0,1250,3,1,1
31711,900470190146,51,116-2,111,,,11080,33,33,4130055.0,4120443.0,4130419.0,,,,,,,,20180703222418,20180703232813 ,4130055.0,4130517.0,1350,3,1,1
31712,900470191701,2-2,31,2-2,,,4610,22,22,4100016.0,4100027.0,4160382.0,,,,,,,,20180703163739,20180703172028 ,4100016.0,4100014.0,1250,3,1,1
31713,900470192864,82-1,25,301,,,6030,25,25,4100087.0,4116816.0,4108130.0,,,,,,,,20180703091435,20180703100401 ,4100087.0,4108137.0,1250,3,1,1
31716,900455429552,116-2,92-1,99,,,6790,19,19,4115603.0,4130121.0,4120457.0,,,,,,,,20180703224150,20180703234610 ,4115603.0,4121766.0,870,3,1,4
31718,900493888310,50-2,13,25,,,25250,69,69,4102912.0,4107928.0,4107935.0,,,,,,,,20180703112311,20180703130917 ,4102912.0,4117364.0,1650,3,1,1
31722,900465885938,1,11,20-1,,,7320,30,30,4195711.0,4117247.0,4107935.0,,,,,,,,20180703154238,20180703163840 ,4195711.0,4117256.0,1250,3,1,1
31724,900450244173,62-1,88,62-1,,,5550,32,32,4170103.0,4108070.0,4108130.0,,,,,,,,20180703182025,20180703191404 ,4170103.0,4160281.0,1250,3,1,1
31725,900450244460,62-1,9,92,,,1870,12,12,4160308.0,4114449.0,4116852.0,,,,,,,,20180703181008,20180703182730 ,4160308.0,4108052.0,1250,3,1,1
31727,900519164231,62-1,707,125,,,18680,37,37,4160219.0,4105375.0,4195017.0,,,,,,,,20180703222245,20180703231046 ,4160219.0,4195035.0,2050,3,1,1
31728,900519164318,19,13-4,301,,,8210,27,27,4108123.0,4179347.0,4122215.0,,,,,,,,20180703180738,20180703185221 ,4108123.0,4100118.0,1250,3,1,1
31729,900519164776,M5422,11-1,13-4,,,36530,87,87,4113603.0,4116893.0,4116900.0,,,,,,,,20180703183201,20180703201257 ,4113603.0,4108065.0,2600,3,1,1
31730,900516836434,35,98,92,,,5760,24,24,4116704.0,4107940.0,4108054.0,,,,,,,,20180703073406,20180703080915 ,4116704.0,4108052.0,1250,3,1,1
31734,900496346774,999,11-1,34,,,10410,41,41,4179319.0,4116907.0,4116875.0,,,,,,,,20180703182803,20180703191442 ,4179319.0,4108040.0,1350,3,1,1
31735,900455437473,37,112,64,,,2340,9,9,4108159.0,4108130.0,4116717.0,,,,,,,,20180703104853,20180703112632 ,4108159.0,4108158.0,1250,3,1,1
31739,900388941030,99-2,112,62-1,,,8120,28,28,4116734.0,4108173.0,4112024.0,,,,,,,,20180703120817,20180703132608 ,4116734.0,4100126.0,1250,3,1,1
31740,100036223662,62-1,9,92,,,8370,50,50,4108225.0,4116853.0,4170093.0,,,,,,,,20180703180837,20180703190704 ,4108225.0,4105378.0,1250,3,1,1
31742,100036223669,92,64,62-1,,,4340,15,15,4116839.0,4108159.0,4108183.0,,,,,,,,20180703125413,20180703131353 ,4116839.0,4170101.0,1250,3,1,1
31743,900463458879,720-1,99-2,88,,,6970,25,25,4111840.0,4116807.0,4116732.0,,,,,,,,20180703160000,20180703163514 ,4111840.0,4116730.0,1250,3,1,1
31744,900463462494,3500,2007,62-1,,,24540,32,32,4199766.0,4103756.0,4100126.0,,,,,,,,20180703222158,20180703230732 ,4199766.0,4108188.0,2400,3,1,1
31749,900023786824,720-3,10,820,,,19630,50,50,4116929.0,4111872.0,4111691.0,,,,,,,,20180703204039,20180703214633 ,4116929.0,4111701.0,1450,3,1,1
31750,900510103666,88,900,777,,,9990,42,42,4116733.0,4108183.0,4122215.0,,,,,,,,20180703132147,20180703143303 ,4116733.0,4100126.0,1250,3,1,1
31751,900510103143,11-1,700-2,7,,,8610,23,23,4116362.0,4102826.0,4108200.0,,,,,,,,20180703212428,20180703224619 ,4116362.0,4130128.0,1250,3,1,1
31757,900027657132,999,20,720-1,,,11230,34,34,4114238.0,4114848.0,4170113.0,,,,,,,,20180703114932,20180703123644 ,4114238.0,4116828.0,950,3,1,4
31765,900505305917,340-1,111,3-2,,,41680,94,94,4103830.0,4130356.0,4170841.0,,,,,,,,20180703155600,20180703175605 ,4103830.0,4115316.0,2350,3,1,1
31766,900505306845,22,310,400,,,13910,31,31,4105239.0,4105337.0,4102912.0,,,,,,,,20180703130421,20180703135251 ,4105239.0,4107809.0,950,3,1,4
