운수사,사업자ID,노선ID,노선번호,순번,정류장ID,정류장번호,정류소명,구간거리,위도,경도,TM_X,TM_Y
경진여객,4100800,233000064,10,21,233001538,36733,구문천삼거리,630,37.07600118,126.8960511,190756.5497,397452.4969
경진여객,4100800,233000064,10,22,233001765,37816,현동목장앞,293,37.07736146,126.8989197,191011.7975,397603.1839
경진여객,4100800,233000064,10,23,233001535,37459,구문천1리진입로,376,37.08056159,126.8998581,191095.6134,397958.2433
경진여객,4100800,233000064,10,24,233001534,37460,발안산업단지,657,37.08620295,126.8999185,191101.6472,398584.3114
경진여객,4100800,233000064,10,25,233001767,37817,구문천공원,428,37.08634393,126.9047367,191530.0523,398599.5173
경진여객,4100800,233000064,10,26,233001768,37818,메탈산업단지,1045,37.08650345,126.9096461,191966.5659,398616.7944
경진여객,4100800,233000064,10,27,233000806,37469,구문천리,210,37.08755161,126.9109881,192085.9962,398733.0061
경진여객,4100800,233000064,10,28,233000805,36759,제약공단후문.구문천1리입구,284,37.09017964,126.9107808,192067.8333,399024.6797
경진여객,4100800,233000064,10,29,233000804,36760,상신리,1540,37.10116421,126.9019882,191287.3765,400244.5126
경진여객,4100800,233000064,10,30,233000803,37470,상신6리,191,37.10289193,126.9017518,191266.5618,400436.2762
경진여객,4100800,233000064,10,31,233000802,36761,상신1리마을앞,501,37.1074177,126.9011728,191215.6163,400938.598
경진여객,4100800,233000064,10,32,233000801,36762,제약공단사원아파트앞,446,37.11142579,126.9005473,191160.4847,401383.4723
경진여객,4100800,233000064,10,33,233000388,36875,화성시보건소앞,2210,37.1288012,126.9049304,191551.9865,403311.3952
경진여객,4100800,233000064,10,34,233000387,36876,발안만세시장,660,37.13332798,126.9094442,191953.571,403813.3852
제부여객,4106100,233000077,1000,1,233001903,37929,장외리.오리골,0,37.17696528,126.6663468,170369.8968,408704.5723
제부여객,4106100,233000077,1000,2,233001928,55350,돈말입구,366,37.17500608,126.6637863,170141.7329,408487.9408
제부여객,4106100,233000077,1000,3,233001850,55347,제부도입구,461,37.17280975,126.6597454,169781.9952,408245.4686
제부여객,4106100,233000077,1000,4,233001293,37002,제부도입구,158,37.17223764,126.6584125,169663.3912,408182.4008
제부여객,4106100,233000077,1000,5,233001872,37925,제부해수탕,610,37.1669612,126.6592601,169736.5692,407596.5436
제부여객,4106100,233000077,1000,6,233000749,37006,개경촌,516,37.1647501,126.6643171,170184.8461,407349.5513
제부여객,4106100,233000077,1000,7,233001294,37008,살고지입구,344,37.1626213,126.6671301,170433.8645,407112.4141
제부여객,4106100,233000077,1000,8,233000748,37013,송교1리,188,37.16352643,126.6689532,170596.147,407212.2994
제부여객,4106100,233000077,1000,9,233000747,37014,큰말입구,637,37.1660988,126.6751932,171151.3713,407495.8673
제부여객,4106100,233000077,1000,10,233000746,37017,장외리.지긋말,398,37.16843478,126.6785179,171447.5406,407754.1121
제부여객,4106100,233000077,1000,11,233001873,37930,장외리,194,37.17003673,126.6791615,171505.3051,407931.7042
제부여객,4106100,233000077,1000,12,233000745,37021,장외리,496,37.17421592,126.6808679,171658.4223,408395.0057
제부여객,4106100,233000077,1000,13,233001875,37784,숲풀안앞,425,37.17422665,126.6856802,172085.7972,408394.7686
제부여객,4106100,233000077,1000,14,233000850,37563,광평삼거리,300,37.1747783,126.6889296,172374.5746,408455.0395
제부여객,4106100,233000077,1000,15,233001887,37928,느티나무앞,224,37.17432713,126.6913885,172592.7789,408404.2551
제부여객,4106100,233000077,1000,16,233000851,37579,광평주유소,371,37.17282293,126.6951333,172924.8127,408236.2405
제부여객,4106100,233000077,1000,17,233001561,37032,광평리,210,37.17301276,126.6974834,173133.5923,408256.6398
제부여객,4106100,233000077,1000,18,233003118,55514,서신중학교후문,530,37.16992617,126.7017796,173514.0613,407912.878
제부여객,4106100,233000077,1000,19,233000852,37040,매화리,228,37.16862707,126.7036665,173681.1876,407768.177
제부여객,4106100,233000077,1000,20,233000853,37045,서신터미널,181,37.16936953,126.7052099,173818.5202,407850.1484
제부여객,4106100,233000077,1000,21,233000344,37398,상안리삼거리,537,37.17401678,126.7067111,173953.4511,408365.4926
제부여객,4106100,233000077,1000,22,233000744,37057,상안2리.SK주유소,597,37.17903969,126.7080722,174076.0444,408922.5692
제부여객,4106100,233000077,1000,23,233000743,37049,상안1.2리,483,37.18284401,126.7067564,173960.4956,409345.1386
제부여객,4106100,233000077,1000,24,233000742,37059,상안1리,388,37.18509542,126.7099121,174241.4895,409594.141
제부여객,4106100,233000077,1000,25,233000741,37062,신흥사,618,37.18986213,126.713678,174577.4785,410122.142
제부여객,4106100,233000077,1000,26,233000879,36767,상안리.한국발효,450,37.19300517,126.7167408,174850.4709,410470.1435
제부여객,4106100,233000077,1000,27,233000854,37068,육일2리.코스코밸리,941,37.19952602,126.7228893,175398.4856,411192.2249
제부여객,4106100,233000077,1000,28,233001482,37557,육일리교차로,455,37.20335964,126.7244316,175536.6531,411617.288
제부여객,4106100,233000077,1000,29,233002330,55172,육일리마을회관,576,37.20823763,126.7258908,175667.7523,412158.2804
제부여객,4106100,233000077,1000,30,233000269,37369,육일리.육교동입구,269,37.20976357,126.7282698,175879.4188,412327.0244
제부여객,4106100,233000077,1000,31,233000855,37080,사강복지회관,544,37.21273528,126.7326819,176271.9956,412655.7164
제부여객,4106100,233000077,1000,32,233000268,37084,사강시장,352,37.21304582,126.7366654,176625.6818,412689.1904
제부여객,4106100,233000077,1000,33,233000267,37088,사강정형외과,210,37.21341531,126.7390225,176835.0221,412729.6182
제부여객,4106100,233000077,1000,34,233000289,37094,봉가1리,541,37.21231379,126.7449478,177360.6395,412605.9366
제부여객,4106100,233000077,1000,35,233000740,37098,돼지고개.삼존리물미,820,37.21141887,126.7538001,178146.1392,412504.5373
제부여객,4106100,233000077,1000,36,233000739,37099,삼존리,477,37.21121218,126.7590893,178615.575,412480.3917
제부여객,4106100,233000077,1000,37,233002153,55096,슬항3리,393,37.20936596,126.7629104,178954.2425,412274.64
제부여객,4106100,233000077,1000,38,233000738,37102,구리섬휴게소,185,37.20850301,126.7647349,179115.9664,412178.4644
제부여객,4106100,233000077,1000,39,233000737,37103,외국인보호소,168,37.20798779,126.7665831,179279.8838,412120.8777
제부여객,4106100,233000077,1000,40,233000736,37106,마도사거리,688,37.20692339,126.7742808,179962.9172,412001.094
제부여객,4106100,233000077,1000,41,233000735,37107,재래시장.마도삼거리,518,37.20632716,126.7800905,180478.4941,411933.7103
제부여객,4106100,233000077,1000,42,233000734,37110,두곡리,403,37.20481882,126.7841967,180842.6216,411765.4737
제부여객,4106100,233000077,1000,43,233000733,37115,쌍송리입구.은장고개,517,37.20222747,126.7891029,181277.5142,411476.9005
제부여객,4106100,233000077,1000,44,233000732,36008,남양육리.남양1동,1133,37.20392972,126.8015596,182383.7625,411663.4306
제부여객,4106100,233000077,1000,45,233000731,36009,우림아파트,436,37.20550236,126.805879,182767.568,411837.1704
제부여객,4106100,233000077,1000,46,233000841,36015,남양성지,834,37.20739839,126.8150047,183578.0878,412045.9753
제부여객,4106100,233000077,1000,47,233000730,36019,남양사거리,417,37.20916464,126.8190775,183940.0017,412241.2985
제부여객,4106100,233000077,1000,48,233000729,36025,남양읍행정복지센터,427,37.21154018,126.8228333,184273.884,412504.3092
제부여객,4106100,233000077,1000,49,233000728,36029,동수원남양병원,821,37.21522985,126.8309234,184992.729,412912.4831
제부여객,4106100,233000077,1000,50,233001404,36719,유일병원,278,37.21724864,126.8323305,185118.0198,413136.3111
제부여객,4106100,233000077,1000,51,233000727,36035,북양1통.봉림사,224,37.21928396,126.8321405,185101.56,413362.2241
제부여객,4106100,233000077,1000,52,233000726,36043,북양1통.염티고개,870,37.22211075,126.8398631,185787.5128,413674.7597
제부여객,4106100,233000077,1000,53,233000725,37153,양노3리,1775,37.22686934,126.8582575,187420.8414,414200.2765
제부여객,4106100,233000077,1000,54,233002118,55087,양노리,265,37.22885478,126.8599893,187574.8624,414420.3951
제부여객,4106100,233000077,1000,55,233000724,37162,삼화리,989,37.23621903,126.8637278,187907.8088,415237.2111
제부여객,4106100,233000077,1000,56,233000723,37169,천산아파트,202,37.23649327,126.8660118,188110.5202,415267.3574
제부여객,4106100,233000077,1000,57,233000722,37171,비봉초등학교후문,200,37.23624071,126.8682619,188310.1488,415239.0484
제부여객,4106100,233000077,1000,58,233000721,37186,비봉중고등학교,545,37.23689526,126.8739338,188813.5409,415311.0065
제부여객,4106100,233000077,1000,59,233000720,37200,구포리과수원,664,37.23943359,126.8805494,189400.9306,415591.9551
제부여객,4106100,233000077,1000,60,233000719,37620,쌍학리,1500,37.24826764,126.8924877,190461.3522,416571.1077
제부여객,4106100,233000077,1000,61,233000718,37237,숙곡리천불사,551,37.24801188,126.8983622,190982.5202,416542.1473
제부여객,4106100,233000077,1000,62,233000842,37565,어천,1114,37.24937556,126.9108673,192092.1377,416692.374
제부여객,4106100,233000077,1000,63,233000717,37290,51사단,963,37.25089247,126.9209304,192985.0769,416859.9304
제부여객,4106100,233000077,1000,64,233000716,37295,원평,260,37.25008107,126.9236632,193227.4538,416769.6801
제부여객,4106100,233000077,1000,65,233000059,36020,원평사거리,170,37.24936417,126.9253969,193381.2047,416689.9952
제부여객,4106100,233000077,1000,66,233000891,37298,매송초등학교,180,37.24891584,126.9273889,193557.8928,416640.1009
제부여객,4106100,233000077,1000,67,233000715,37304,전승아파트,411,37.24628513,126.9306375,193845.8951,416347.9226
제부여객,4106100,233000077,1000,68,233000714,37308,옥산마을,566,37.24484479,126.9367494,194388.0604,416187.6898
제부여객,4106100,233000077,1000,69,233000713,37312,천천리,473,37.24460684,126.942079,194860.9129,416160.9798
제부여객,4106100,233000077,1000,70,233000712,37316,천천리입구,549,37.24355913,126.9474931,195341.2198,416044.4222
제부여객,4106100,233000077,1000,71,233000711,37324,삼미.쌍용아파트,518,37.24322424,126.953334,195859.4476,416006.9842
제부여객,4106100,233000077,1000,72,233000593,36148,수영오거리.방송통신대입구,1208,37.23754154,126.9625569,196677.5272,415375.942
제부여객,4106100,233000077,1000,73,233000592,36152,국립축산과학원,335,37.23613526,126.9659014,196974.2341,415219.7574
제부여객,4106100,233000077,1000,74,233001574,37638,수영리검사소,484,37.23251232,126.968503,197204.9548,414817.5969
제부여객,4106100,233000077,1000,75,233000591,36159,한국농수산대학,409,37.22914092,126.9703792,197371.3388,414443.3777
제부여객,4106100,233000077,1000,76,233000590,36169,신일우남아파트,310,37.22662331,126.971657,197484.6527,414163.9342
제부여객,4106100,233000077,1000,77,233000589,36174,SK매직.우림그린빌리지,202,37.22480178,126.9720885,197522.8852,413961.7665
제부여객,4106100,233000077,1000,78,233000588,36183,이마트앞,286,37.22250919,126.973683,197664.3228,413707.2894
제부여객,4106100,233000077,1000,79,233000942,36187,와우농협앞,530,37.21804087,126.974469,197733.9445,413211.3686
제부여객,4106100,233000077,1000,80,233000944,36193,와우2리,278,37.21592232,126.9762096,197888.3839,412976.208
제부여객,4106100,233000077,1000,81,233000575,36210,수원대학교,389,37.2138171,126.9797802,198205.2497,412742.494
제부여객,4106100,233000077,1000,82,233002233,55121,안녕4통,359,37.21232026,126.9829276,198484.5908,412576.3173
제부여객,4106100,233000077,1000,83,233000585,36264,융건릉,731,37.20784813,126.9888706,199012.0525,412079.9138
제부여객,4106100,233000077,1000,84,233001227,36661,타래치길,458,37.20723963,126.9934544,199418.9506,412012.3442
제부여객,4106100,233000077,1000,85,233001228,36660,안녕자원앞,726,37.20968316,127.0007248,200064.3375,412283.5111
제부여객,4106100,233000077,1000,86,233000584,36289,용주사,450,37.21059903,127.0052534,200466.3232,412385.1685
제부여객,4106100,233000077,1000,87,233000583,36302,우남블루존.원광병원,415,37.20968736,127.009227,200819.0482,412284.0167
제부여객,4106100,233000077,1000,88,233000582,36308,남수원현대아파트,308,37.20712786,127.0106347,200944.0381,411999.9723
제부여객,4106100,233000077,1000,89,233000581,36314,안녕농협삼거리,439,37.20524159,127.0147264,201307.2915,411790.6798
제부여객,4106100,233000077,1000,90,233000643,36315,송산동입구,224,37.20559408,127.0172324,201529.747,411829.8376
제부여객,4106100,233000077,1000,91,233000642,36327,동문아파트,447,37.2054296,127.0222898,201978.7038,411811.6765
제부여객,4106100,233000077,1000,92,233000696,36336,진안5통.병점육교,847,37.20875811,127.0304572,202703.6166,412181.2817
제부여객,4106100,233000077,1000,93,233000695,36338,병점역후문,228,37.20692877,127.0316692,202811.2701,411978.2938
제부여객,4106100,233000077,1000,94,233001921,37933,유엔아이,455,37.20328134,127.0341205,203029.0219,411573.5723
제부여객,4106100,233000077,1000,95,233000097,36348,한일타운아파트,458,37.20026681,127.0375893,203337.0933,411239.1322
