,seq,pr_station_id,bus_line_no,bus_line_no_seq,station_nm,station_id,mobile_no,정류소명,표준정류장ID,WGS84위도,WGS84경도,관할관청,이비카드정류장ID
6909,88257,233000005,330,9,큰말입구,233000747,37014.0,큰말입구,233000747.0,37.1660667,126.67516670000002,경기도 화성시,4102842.0
6910,88258,233000005,330,10,장외리.지긋말,233000746,37017.0,장외리.지긋말,233000746.0,37.1684667,126.6785,경기도 화성시,4102844.0
6912,88260,233000005,330,12,장외리,233000745,37021.0,장외리,233000745.0,37.1741833,126.6808333,경기도 화성시,4102847.0
6913,88261,233000005,330,13,숲풀안앞,233001875,37784.0,숲풀안앞,233001875.0,37.1742,126.68565,경기도 화성시,4196021.0
6914,88262,233000005,330,14,광평삼거리,233000850,37563.0,광평삼거리,233000850.0,37.17475,126.6889,경기도 화성시,4170948.0
6915,88263,233000005,330,15,느티나무앞,233001887,37928.0,느티나무앞,233001887.0,37.1743,126.69135,경기도 화성시,4199953.0
6916,88264,233000005,330,16,광평주유소,233000851,37579.0,광평주유소,233000851.0,37.1728,126.6951,경기도 화성시,4170989.0
6917,88265,233000005,330,17,광평리,233001561,37032.0,광평리,233001561.0,37.1729833,126.69745,경기도 화성시,4102849.0
6919,88267,233000005,330,19,매화리,233000852,37040.0,매화리,233000852.0,37.1686,126.7036333,경기도 화성시,4102850.0
6920,88268,233000005,330,20,서신터미널,233000853,37045.0,서신터미널,233000853.0,37.1694,126.7052333,경기도 화성시,4102853.0
6921,88269,233000005,330,21,상안리삼거리,233000344,37398.0,상안리삼거리,233000344.0,37.1739833,126.70668329999998,경기도 화성시,4170736.0
6922,88270,233000005,330,22,상안삼거리,233002315,55232.0,상안삼거리,233002315.0,37.1769667,126.70668329999998,경기도 화성시,4170287.0
6923,88271,233000005,330,23,상안2리.SK주유소,233000744,37057.0,상안2리.SK주유소,233000744.0,37.1790167,126.70803329999998,경기도 화성시,4102854.0
6924,88272,233000005,330,24,상안1.2리,233000743,37049.0,상안1.2리,233000743.0,37.1828,126.70671670000002,경기도 화성시,4102856.0
6925,88273,233000005,330,25,상안1리,233000742,37059.0,상안1리,233000742.0,37.1851,126.7098667,경기도 화성시,4102859.0
6926,88274,233000005,330,26,신흥사,233000741,37062.0,신흥사,233000741.0,37.1898333,126.71363329999998,경기도 화성시,4102860.0
6927,88275,233000005,330,27,상안리.한국발효,233000879,36767.0,상안리.한국발효,233000879.0,37.19300000000001,126.7167333,경기도 화성시,4170293.0
6928,88276,233000005,330,28,육일2리.코스코밸리,233000854,37068.0,육일2리.코스코밸리,233000854.0,37.1995,126.72285,경기도 화성시,4107789.0
6929,88277,233000005,330,29,육일리교차로,233001482,37557.0,육일리교차로,233001482.0,37.2033333,126.7244,경기도 화성시,4170933.0
6930,88278,233000005,330,30,육일리마을회관,233002330,55172.0,육일리마을회관,233002330.0,37.2082167,126.7258667,경기도 화성시,4119863.0
6931,88279,233000005,330,31,육일리.육교동입구,233000269,37369.0,육일리.육교동입구,233000269.0,37.2097333,126.7282333,경기도 화성시,4196036.0
6932,88280,233000005,330,32,사강복지회관,233000855,37080.0,사강복지회관,233000855.0,37.2127,126.73265,경기도 화성시,4102866.0
6933,88281,233000005,330,33,사강시장,233000268,37084.0,사강시장,233000268.0,37.2130167,126.73663329999998,경기도 화성시,4102868.0
6934,88282,233000005,330,34,사강정형외과,233000267,37088.0,사강정형외과,233000267.0,37.2133833,126.7389833,경기도 화성시,4102870.0
6935,88283,233000005,330,35,봉가1리,233000289,37094.0,봉가1리,233000289.0,37.2122833,126.74491670000002,경기도 화성시,4170475.0
6936,88284,233000005,330,36,돼지고개.삼존리물미,233000740,37098.0,돼지고개.삼존리물미,233000740.0,37.2114,126.7537667,경기도 화성시,4102872.0
6937,88285,233000005,330,37,삼존리,233000739,37099.0,삼존리,233000739.0,37.2111833,126.75905,경기도 화성시,4170950.0
6938,88286,233000005,330,38,슬항3리,233002153,55096.0,슬항3리,233002153.0,37.2093333,126.76288329999998,경기도 화성시,4170951.0
6939,88287,233000005,330,39,구리섬휴게소,233000738,37102.0,구리섬휴게소,233000738.0,37.2084833,126.7647,경기도 화성시,4102877.0
6940,88288,233000005,330,40,외국인보호소,233000737,37103.0,외국인보호소,233000737.0,37.2079667,126.76655,경기도 화성시,4102878.0
6941,88289,233000005,330,41,마도사거리,233000736,37106.0,마도사거리,233000736.0,37.2069,126.77425,경기도 화성시,4102880.0
6942,88290,233000005,330,42,재래시장.마도삼거리,233000735,37107.0,재래시장.마도삼거리,233000735.0,37.2063,126.78006670000002,경기도 화성시,4102882.0
6943,88291,233000005,330,43,두곡리,233000734,37110.0,두곡리,233000734.0,37.2048,126.7841667,경기도 화성시,4102885.0
6944,88292,233000005,330,44,쌍송리입구.은장고개,233000733,37115.0,쌍송리입구.은장고개,233000733.0,37.2022,126.7890667,경기도 화성시,4102887.0
6945,88293,233000005,330,45,남양육리.남양1동,233000732,36008.0,남양육리.남양1동,233000732.0,37.2039,126.8015333,경기도 화성시,4102889.0
6946,88294,233000005,330,46,우림아파트,233000731,36009.0,우림아파트,233000731.0,37.2054833,126.80585,경기도 화성시,4102890.0
6947,88295,233000005,330,47,경기남부수협.보건소,233002170,55115.0,남양보건소,233002170.0,37.2069167,126.8118833,경기도 화성시,4130107.0
6948,88296,233000005,330,48,남양성지,233000841,36015.0,남양성지,233000841.0,37.20735,126.81498329999998,경기도 화성시,4107805.0
6949,88297,233000005,330,49,남양사거리,233000730,36019.0,남양사거리,233000730.0,37.2091667,126.81901670000002,경기도 화성시,4102894.0
6950,88298,233000005,330,50,남양읍행정복지센터,233000729,36025.0,남양읍주민센터,233000729.0,37.2117667,126.8234167,경기도 화성시,4102896.0
6953,88301,233000005,330,53,남양뉴타운4단지,233001975,36742.0,남양뉴타운4단지,233001975.0,37.2101,126.83285,경기도 화성시,4170940.0
6956,88304,233000005,330,56,북양1통.봉림사,233000727,36035.0,북양1통.봉림사,233000727.0,37.2185833,126.83213329999998,경기도 화성시,4102900.0
6957,88305,233000005,330,57,북양1통.염티고개,233000726,36043.0,북양1통.염티고개,233000726.0,37.2220833,126.83983329999998,경기도 화성시,4102902.0
6958,88306,233000005,330,58,양노3리,233000725,37153.0,양노3리,233000725.0,37.22685,126.8582167,경기도 화성시,4102904.0
6959,88307,233000005,330,59,양노리,233002118,55087.0,양노리,233002118.0,37.2288333,126.85995,경기도 화성시,4197693.0
6960,88308,233000005,330,60,삼화리,233000724,37162.0,삼화리,233000724.0,37.2362,126.8637,경기도 화성시,4102907.0
6961,88309,233000005,330,61,천산아파트,233000723,37169.0,천산아파트,233000723.0,37.2364667,126.86598329999998,경기도 화성시,4107808.0
6962,88310,233000005,330,62,비봉초등학교후문,233000722,37171.0,비봉초등학교후문,233000722.0,37.2362167,126.8682333,경기도 화성시,4102910.0
6963,88311,233000005,330,63,비봉중고등학교,233000721,37186.0,비봉중고등학교,233000721.0,37.2368667,126.8739,경기도 화성시,4102912.0
6964,88312,233000005,330,64,연화가든앞,233002039,55017.0,연화가든앞,233002039.0,37.24355,126.8751,경기도 화성시,4120455.0
6965,88313,233000005,330,65,구포리,233000538,37176.0,구포리,233000538.0,37.2500333,126.87235,경기도 화성시,4102913.0
6966,88314,233000005,330,66,야목리,233000537,37193.0,야목리,233000537.0,37.2649167,126.87756670000002,경기도 화성시,4102915.0
6967,88315,233000005,330,67,매송휴먼시아후문,233002354,55236.0,매송휴먼시아후문,233002354.0,37.2677333,126.8808667,경기도 화성시,4170866.0
6968,88316,233000005,330,68,송라리,233000536,37215.0,송라리,233000536.0,37.2749,126.8868,경기도 화성시,4102917.0
6969,88317,233000005,330,69,원리,233000535,37211.0,원리,233000535.0,37.2775667,126.8851167,경기도 화성시,4102919.0
7021,88369,233000005,330,121,원리,233000534,37210.0,원리,233000534.0,37.27765,126.88495,경기도 화성시,4102920.0
7022,88370,233000005,330,122,송라1리,233000533,37214.0,송라1리,233000533.0,37.2754333,126.88645,경기도 화성시,4107881.0
7023,88371,233000005,330,123,야목리,233000532,37194.0,야목리,233000532.0,37.26615,126.87825,경기도 화성시,4102916.0
7024,88372,233000005,330,124,구포리,233000873,37175.0,구포리,233000873.0,37.25005,126.87225,경기도 화성시,4102914.0
7025,88373,233000005,330,125,왕재골입구,233002040,55008.0,왕재골입구,233002040.0,37.2435167,126.87498329999998,경기도 화성시,4107790.0
7026,88374,233000005,330,126,비봉중고등학교,233000778,37183.0,비봉중고등학교,233000778.0,37.2367167,126.8732167,경기도 화성시,4102911.0
7027,88375,233000005,330,127,비봉초등학교후문.삼화3리,233000777,37170.0,비봉초등학교후문.삼화3리,233000777.0,37.2363167,126.86815,경기도 화성시,4102909.0
7028,88376,233000005,330,128,천산아파트,233000776,37168.0,천산아파트,233000776.0,37.23655,126.86598329999998,경기도 화성시,4102908.0
7029,88377,233000005,330,129,삼화리.천산아파트,233000774,37161.0,삼화리.천산아파트,233000774.0,37.2360833,126.8629167,경기도 화성시,4102906.0
7030,88378,233000005,330,130,양노리,233000773,37154.0,양노리,233000773.0,37.2290833,126.8597667,경기도 화성시,4102905.0
7031,88379,233000005,330,131,양노3리,233003082,55393.0,양노3리,233003082.0,37.2267667,126.8577167,경기도 화성시,4107844.0
7032,88380,233000005,330,132,북양1통.염티고개,233000772,36042.0,북양1통.염티고개,233000772.0,37.2221333,126.83903329999998,경기도 화성시,4102903.0
7033,88381,233000005,330,133,북양1통,233000771,37776.0,북양1통,233000771.0,37.21895,126.8318,경기도 화성시,4102901.0
7038,88386,233000005,330,138,남양읍행정복지센터,233000769,36026.0,남양읍주민센터,233000769.0,37.21195,126.8233667,경기도 화성시,4102897.0
7039,88387,233000005,330,139,남양사거리,233000768,36021.0,남양사거리,233000768.0,37.2094333,126.8191,경기도 화성시,4102895.0
