,seq,pr_station_id,bus_line_no,bus_line_no_seq,station_nm,station_id,mobile_no,정류소명,표준정류장ID,WGS84위도,WGS84경도,관할관청,이비카드정류장ID
21922,153651,241205011,3-2,14,백토리사거리,233000623,36748.0,백토리사거리,233000623.0,37.1176,126.9438167,경기도 화성시,4170250.0
21923,153652,241205011,3-2,15,향남교회,233001500,36740.0,향남교회,233001500.0,37.12335,126.94738329999998,경기도 화성시,4170946.0
21924,153653,241205011,3-2,16,관리마을회관,233001236,36801.0,관리마을회관,233001236.0,37.12795,126.9480167,경기도 화성시,4170358.0
21926,153655,241205011,3-2,18,동오사거리,233000629,37322.0,동오사거리,233000629.0,37.1308,126.9509333,경기도 화성시,4130342.0
21927,153656,241205011,3-2,19,동오리,233000628,37327.0,동오리,233000628.0,37.1308167,126.95945,경기도 화성시,4130339.0
21928,153657,241205011,3-2,20,아시아자동차,233001018,37329.0,아시아자동차,233001018.0,37.1313333,126.96285,경기도 화성시,4170300.0
21929,153658,241205011,3-2,21,송곡리,233000627,37330.0,송곡리,233000627.0,37.1286667,126.9671333,경기도 화성시,4130336.0
21930,153659,241205011,3-2,22,송곡리입구,233002158,55128.0,송곡리입구,233002158.0,37.12655,126.97115,경기도 화성시,4170495.0
21931,153660,241205011,3-2,23,길성리,233000035,37332.0,길성리,233000035.0,37.1248167,126.9739833,경기도 화성시,4130334.0
21932,153661,241205011,3-2,24,갈천리,233001019,37334.0,갈천리,233001019.0,37.1248167,126.97696670000002,경기도 화성시,4130332.0
21933,153662,241205011,3-2,25,갈천초등학교,233000034,37339.0,갈천초등학교,233000034.0,37.12495,126.9814833,경기도 화성시,4130330.0
21934,153663,241205011,3-2,26,갈천다리,233000033,37342.0,갈천다리,233000033.0,37.12515,126.9844667,경기도 화성시,4130328.0
21935,153664,241205011,3-2,27,귀래산업단지,233002385,55262.0,귀래산업단지,233002385.0,37.13325,126.9821333,경기도 화성시,4115316.0
21936,153665,241205011,3-2,28,증거리입구,233001498,37337.0,증거리입구,233001498.0,37.1379333,126.9775167,경기도 화성시,4117393.0
21938,153667,241205011,3-2,30,계향2리,233000659,37571.0,계향2리,233000659.0,37.1523833,126.9813333,경기도 화성시,4171002.0
21939,153668,241205011,3-2,31,발산리,233000658,36225.0,계향1리,233000658.0,37.1555333,126.9819167,경기도 화성시,4117398.0
21940,153669,241205011,3-2,32,덕신상가,233001578,36227.0,덕신상가,233001578.0,37.1592167,126.9823167,경기도 화성시,4117391.0
21941,153670,241205011,3-2,33,동남아파트,233000656,36236.0,동남아파트,233000656.0,37.1635833,126.9835833,경기도 화성시,4117388.0
21942,153671,241205011,3-2,34,정남초등학교,233000655,36238.0,정남초등학교,233000655.0,37.16765,126.9839,경기도 화성시,4117386.0
21944,153673,241205011,3-2,36,용수리,233000636,36280.0,용수리,233000636.0,37.1687167,126.99975,경기도 화성시,4130211.0
21945,153674,241205011,3-2,37,고지리,233000057,36300.0,고지리,233000057.0,37.1638,127.0078333,경기도 화성시,4130220.0
21947,153676,241205011,3-2,39,내리,233000056,36320.0,내리,233000056.0,37.1620833,127.0186833,경기도 화성시,4130219.0
21948,153677,241205011,3-2,40,수면리,233000054,36331.0,수면리,233000054.0,37.16175,127.0224,경기도 화성시,4195391.0
21978,153707,241205011,3-2,70,수면리,233001151,36330.0,수면리,233001151.0,37.1618667,127.02221670000002,경기도 화성시,4195390.0
21979,153708,241205011,3-2,71,내리교회,233001153,36324.0,내리교회,233001153.0,37.1621333,127.02013329999998,경기도 화성시,4130216.0
21980,153709,241205011,3-2,72,고지리,233000058,36299.0,고지리,233000058.0,37.1639333,127.0073833,경기도 화성시,4130221.0
21983,153712,241205011,3-2,75,정남초등학교,233001494,36239.0,정남초등학교,233001494.0,37.1678167,126.98376670000002,경기도 화성시,4130213.0
21984,153713,241205011,3-2,76,동남아파트,233000660,36235.0,동남아파트,233000660.0,37.16316670000001,126.98328329999998,경기도 화성시,4117389.0
21985,153714,241205011,3-2,77,덕신상가,233001579,36226.0,덕신상가,233001579.0,37.1591833,126.98211670000002,경기도 화성시,4117390.0
21986,153715,241205011,3-2,78,발산리,233001129,36223.0,계향1리,233001129.0,37.1553167,126.9817167,경기도 화성시,4117397.0
21987,153716,241205011,3-2,79,계향리입구,233001577,36218.0,계향리입구,233001577.0,37.1524167,126.98121670000002,경기도 화성시,4117395.0
21989,153718,241205011,3-2,81,증거리입구,233001497,37336.0,증거리입구,233001497.0,37.1377333,126.9774167,경기도 화성시,4117394.0
21990,153719,241205011,3-2,82,귀래산업단지,233002384,55261.0,귀래산업단지,233002384.0,37.1332333,126.98185,경기도 화성시,4115436.0
21991,153720,241205011,3-2,83,갈천다리,233000947,37343.0,갈천다리,233000947.0,37.1252333,126.9844667,경기도 화성시,4130327.0
21992,153721,241205011,3-2,84,갈천초등학교,233000039,36711.0,갈천초등학교,233000039.0,37.1251,126.97996670000002,경기도 화성시,4170334.0
21993,153722,241205011,3-2,85,갈천리,233000038,37335.0,갈천리,233000038.0,37.1248667,126.97696670000002,경기도 화성시,4130331.0
21994,153723,241205011,3-2,86,길성리,233000037,37333.0,길성리,233000037.0,37.12485,126.97415,경기도 화성시,4130333.0
21995,153724,241205011,3-2,87,송곡리입구,233002119,55127.0,송곡리입구,233002119.0,37.1266167,126.9712167,경기도 화성시,4170492.0
21996,153725,241205011,3-2,88,송곡리,233000036,37331.0,송곡리,233000036.0,37.1285833,126.96756670000002,경기도 화성시,4130335.0
21997,153726,241205011,3-2,89,아시아자동차,233000948,37328.0,아시아자동차,233000948.0,37.1314833,126.9629,경기도 화성시,4170361.0
21998,153727,241205011,3-2,90,동오리,233001017,37326.0,동오리,233001017.0,37.1309167,126.95938329999998,경기도 화성시,4130340.0
21999,153728,241205011,3-2,91,동오사거리,233000635,37323.0,동오사거리,233000635.0,37.1310833,126.9515,경기도 화성시,4130341.0
22002,153731,241205011,3-2,94,향남교회,233001499,36741.0,향남교회,233001499.0,37.1233833,126.94733329999998,경기도 화성시,4170945.0
22003,153732,241205011,3-2,95,백토1리,233000625,37465.0,백토1리,233000625.0,37.1176833,126.94383329999998,경기도 화성시,4170804.0
22004,153733,241205011,3-2,96,향남초등학교,233000624,36747.0,향남초등학교,233000624.0,37.1186833,126.9424833,경기도 화성시,4170251.0
22005,153734,241205011,3-2,97,안골목장,233001952,37981.0,안골목장,233001952.0,37.1227667,126.9394833,경기도 화성시,4198446.0
22007,153736,241205011,3-2,99,백토리상공회의소,233001389,37545.0,백토리상공회의소,233001389.0,37.1306833,126.93026670000002,경기도 화성시,4170898.0
22008,153737,241205011,3-2,100,행정리,233001022,37303.0,행정리,233001022.0,37.13085,126.92811670000002,경기도 화성시,4130347.0
22009,153738,241205011,3-2,101,상록하늘채,233001956,37957.0,상록하늘채,233001956.0,37.1311167,126.9252167,경기도 화성시,4105649.0
22010,153739,241205011,3-2,102,향남홈플러스,233002360,55252.0,향남홈플러스,233002360.0,37.1315833,126.9223833,경기도 화성시,4116269.0
22011,153740,241205011,3-2,103,향남읍행정복지센터,233000633,37288.0,향남읍사무소,233000633.0,37.1317667,126.91915,경기도 화성시,4130350.0
22012,153741,241205011,3-2,104,화성중앙병원.발안초등학교,233001026,37269.0,화성중앙병원.발안초등학교,233001026.0,37.1311833,126.9115,경기도 화성시,4130354.0
22013,153742,241205011,3-2,105,발안사거리.평리,233001565,37625.0,발안사거리.평리,233001565.0,37.1314667,126.91048329999998,경기도 화성시,4198939.0
22014,153743,241205011,3-2,106,발안삼거리.바다마트,233001558,37270.0,발안삼거리.바다마트,233001558.0,37.1359167,126.91095,경기도 화성시,4130357.0
22015,153744,241205011,3-2,107,화성중고등학교,233000924,37256.0,화성중고등학교,233000924.0,37.1379333,126.90605,경기도 화성시,4130358.0
22016,153745,241205012,50,1,대광아파트,233000191,36037.0,대광아파트,233000191.0,37.1942667,126.8340333,경기도 화성시,4130392.0
22017,153746,241205012,50,2,공군부대입구,233000190,36036.0,공군부대입구,233000190.0,37.1962333,126.83128329999998,경기도 화성시,4130194.0
22018,153747,241205012,50,3,화성시청,233000189,36028.0,화성시청,233000189.0,37.19835,126.82845,경기도 화성시,4102925.0
22019,153748,241205012,50,4,남양뉴타운.양우내안애,233000188,36804.0,남양뉴타운,233000188.0,37.2023333,126.8243333,경기도 화성시,4170415.0
22020,153749,241205012,50,5,남양중고교입구,233001318,36023.0,남양중고교입구,233001318.0,37.2044333,126.82215,경기도 화성시,4130189.0
22021,153750,241205012,50,6,기업은행,233000210,37567.0,기업은행,233000210.0,37.2071833,126.81973329999998,경기도 화성시,4170958.0
22022,153751,241205012,50,7,남양사거리,233000730,36019.0,남양사거리,233000730.0,37.2091667,126.81901670000002,경기도 화성시,4102894.0
22023,153752,241205012,50,8,남양읍행정복지센터,233000729,36025.0,남양읍주민센터,233000729.0,37.2117667,126.8234167,경기도 화성시,4102896.0
22024,153753,241205012,50,9,동수원남양병원,233000728,36029.0,동수원남양병원,233000728.0,37.2145333,126.82956670000002,경기도 화성시,4102898.0
22025,153754,241205012,50,10,북양2리,233001231,36040.0,북양2리,233001231.0,37.2176167,126.8358167,경기도 화성시,4130188.0
22026,153755,241205012,50,11,봉림사입구,233002163,55254.0,봉림사입구,233002163.0,37.2174833,126.841,경기도 화성시,4115241.0
22027,153756,241205012,50,12,북양산업단지,233002402,55346.0,북양산업단지,233002402.0,37.2148833,126.85215,경기도 화성시,4121823.0
22028,153757,241205012,50,13,북양교차로,233001232,36052.0,북양교차로,233001232.0,37.21135,126.85528329999998,경기도 화성시,4130186.0
22031,153760,241205012,50,16,자안리,233001233,37189.0,자안리,233001233.0,37.1977833,126.8765,경기도 화성시,4130184.0
22032,153761,241205012,50,17,청요사거리,233000555,37199.0,청요사거리,233000555.0,37.1982,126.88055,경기도 화성시,4130181.0
22034,153763,241205012,50,19,청요3리마을회관,233000899,37213.0,청요3리마을회관,233000899.0,37.20065,126.8860667,경기도 화성시,4107860.0
22035,153764,241205012,50,20,가골입구앞,233001314,36712.0,가골입구앞,233001314.0,37.2022333,126.8911167,경기도 화성시,4170713.0
22036,153765,241205012,50,21,청요2리,233001315,37227.0,청요2리,233001315.0,37.2030667,126.8948,경기도 화성시,4130179.0
22037,153766,241205012,50,22,청요리,233000554,37232.0,청요리,233000554.0,37.19955,126.8973,경기도 화성시,4107856.0
22038,153767,241205012,50,23,기천저수지,233000553,37247.0,기천저수지,233000553.0,37.1936833,126.9009333,경기도 화성시,4130177.0
22040,153769,241205012,50,25,상기2리,233000552,36057.0,상기2리,233000552.0,37.1981833,126.91505,경기도 화성시,4130173.0
22041,153770,241205012,50,26,상기2리입구,233000551,36059.0,상기2리입구,233000551.0,37.1994,126.91916670000002,경기도 화성시,4130171.0
22042,153771,241205012,50,27,상기1리즘곰마을,233000550,36063.0,상기1리즘곰마을,233000550.0,37.2006,126.9244167,경기도 화성시,4130169.0
22043,153772,241205012,50,28,상기1리호현리,233000549,36066.0,상기1리호현리,233000549.0,37.2028167,126.9277,경기도 화성시,4130167.0
22044,153773,241205012,50,29,상기1리세거리,233000548,36072.0,상기1리세거리,233000548.0,37.2030333,126.9309167,경기도 화성시,4130164.0
22045,153774,241205012,50,30,수원여대혜란캠퍼스,233001311,36076.0,수원여대혜란캠퍼스,233001311.0,37.2026167,126.93273329999998,경기도 화성시,4130162.0
22046,153775,241205012,50,31,왕림휴게소,233000789,36110.0,왕림휴게소,233000789.0,37.2039667,126.9428167,경기도 화성시,4130160.0
22050,153779,241205012,50,35,봉담중.고등학교,233001661,37883.0,봉담중.고등학교,233001661.0,37.2194,126.95386670000002,경기도 화성시,4117427.0
22051,153780,241205012,50,36,동일하이빌.상봉초등학교,233002086,55054.0,동일하이빌.상봉초등학교,233002086.0,37.2176833,126.9561,경기도 화성시,4130061.0
22052,153781,241205012,50,37,동일하이빌.화성고용센터,233001658,37881.0,동일하이빌.화성고용센터,233001658.0,37.2163833,126.9583,경기도 화성시,4116676.0
22053,153782,241205012,50,38,동화휴먼시아6단지,233001612,37677.0,동화휴먼시아6단지,233001612.0,37.2149333,126.9602,경기도 화성시,4199070.0
22054,153783,241205012,50,39,주공6단지,233001657,37882.0,주공6단지,233001657.0,37.2136833,126.9609667,경기도 화성시,4117430.0
22055,153784,241205012,50,40,분천리.분천교회,233001655,37966.0,분천리.분천교회,233001655.0,37.2093,126.9596667,경기도 화성시,4107885.0
22056,153785,241205012,50,41,수원신학교,233000567,36752.0,수원신학교,233000567.0,37.2030333,126.9642833,경기도 화성시,4170241.0
22057,153786,241205012,50,42,보통리입구,233000915,36156.0,보통리입구,233000915.0,37.1985667,126.96935,경기도 화성시,4130148.0
22059,153788,241205012,50,44,아랫말.수기리,233000566,36200.0,아랫말.수기리,233000566.0,37.19911670000001,126.97808329999998,경기도 화성시,4130146.0
22060,153789,241205012,50,45,수기리,233000565,36214.0,수기리,233000565.0,37.1998333,126.97985,경기도 화성시,4130144.0
22061,153790,241205012,50,46,남산공단입구,233000607,36246.0,남산공단입구,233000607.0,37.1989833,126.9843,경기도 화성시,4116665.0
22062,153791,241205012,50,47,편의점,233002535,55448.0,편의점,233002535.0,37.1966833,126.9818,경기도 화성시,4116661.0
22063,153792,241205012,50,48,수원과학대학,233000913,36212.0,수원과학대학,233000913.0,37.1932167,126.9798,경기도 화성시,4116664.0
22064,153793,241205012,50,49,대한적십자교육원,233002492,55447.0,대한적십자교육원,233002492.0,37.1965,126.9817167,경기도 화성시,4122718.0
22065,153794,241205012,50,50,남산공단입구,233000610,36249.0,남산공단입구,233000610.0,37.1992333,126.9844833,경기도 화성시,4116666.0
22066,153795,241205012,50,51,그린피아호텔,233000609,36229.0,그린피아호텔,233000609.0,37.2035167,126.98285,경기도 화성시,4116668.0
22067,153796,241205012,50,52,안녕3통입구,233002396,55271.0,안녕3통입구,233002396.0,37.2051,126.9851,경기도 화성시,4115417.0
22068,153797,241205012,50,53,융건릉,233001234,36265.0,융건릉,233001234.0,37.20765,126.98888329999998,경기도 화성시,4130139.0
22069,153798,241205012,50,54,타래치길,233001227,36661.0,타래치길,233001227.0,37.2072167,126.9934167,경기도 화성시,4195720.0
22071,153800,241205012,50,56,용주사,233000584,36289.0,용주사,233000584.0,37.2105833,127.00521670000002,경기도 화성시,4116688.0
22072,153801,241205012,50,57,우남블루존.원광병원,233000583,36302.0,우남블루존아파트,233000583.0,37.2096667,127.0092,경기도 화성시,4116689.0
22073,153802,241205012,50,58,남수원현대아파트,233000582,36308.0,남수원현대아파트,233000582.0,37.2071,127.0106,경기도 화성시,4116690.0
22074,153803,241205012,50,59,안녕농협삼거리,233000581,36314.0,안녕농협삼거리,233000581.0,37.2052167,127.0147,경기도 화성시,4116691.0
22075,153804,241205012,50,60,송산동입구,233000643,36315.0,송산동입구,233000643.0,37.2055667,127.0172,경기도 화성시,4116692.0
22076,153805,241205012,50,61,동문아파트,233000642,36327.0,동문아파트,233000642.0,37.2054,127.02225,경기도 화성시,4116693.0
22077,153806,241205012,50,62,진안5통.병점육교,233000696,36336.0,진안5통.병점육교,233000696.0,37.2087333,127.03041670000002,경기도 화성시,4116694.0
22078,153807,241205012,50,63,병점역후문,233000695,36338.0,병점역후문,233000695.0,37.2069,127.03163329999998,경기도 화성시,4116695.0
22079,153808,241205012,50,64,유엔아이,233001921,37933.0,유엔아이,233001921.0,37.20325,127.0340833,경기도 화성시,4170339.0
22080,153809,241205012,50,65,한일타운아파트,233000097,36348.0,한일타운아파트,233000097.0,37.20025,127.03755,경기도 화성시,4116696.0
22081,153810,241205012,50,66,신창미션힐.송화초교,233000101,36350.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,경기도 화성시,4100048.0
22082,153811,241205012,50,67,병점역사거리,233000702,36345.0,병점역사거리,233000702.0,37.2069167,127.0356333,경기도 화성시,4151651.0
22083,153812,241205012,50,68,홈플러스.벌말초교,233000100,36351.0,홈플러스.벌말초교,233000100.0,37.2033,127.03813329999998,경기도 화성시,4100049.0
22084,153813,241205012,50,69,한일타운아파트,233000098,36349.0,한일타운아파트,233000098.0,37.2003333,127.0377,경기도 화성시,4130130.0
22085,153814,241205012,50,70,유엔아이,233001920,37935.0,유엔아이,233001920.0,37.20385,127.03383329999998,경기도 화성시,4170340.0
22086,153815,241205012,50,71,병점역후문,233000701,36339.0,병점역후문,233000701.0,37.2068667,127.0318333,경기도 화성시,4130131.0
22087,153816,241205012,50,72,안용중학교.현충탑,233000670,36328.0,안용중학교.현충탑,233000670.0,37.2055667,127.02191670000002,경기도 화성시,4130133.0
22088,153817,241205012,50,73,송산동입구,233000669,36318.0,송산동입구,233000669.0,37.20585,127.0177833,경기도 화성시,4130134.0
22089,153818,241205012,50,74,안녕농협삼거리,233000604,36312.0,안녕농협삼거리,233000604.0,37.2053,127.01425,경기도 화성시,4130135.0
22090,153819,241205012,50,75,남수원현대아파트,233000603,36307.0,남수원현대아파트,233000603.0,37.2076667,127.0105167,경기도 화성시,4130136.0
22091,153820,241205012,50,76,우남블루존.원광병원,233000602,36301.0,우남블루존아파트,233000602.0,37.2098333,127.0092333,경기도 화성시,4117411.0
22092,153821,241205012,50,77,용주사,233000601,36288.0,용주사,233000601.0,37.2105167,127.0043,경기도 화성시,4130138.0
22093,153822,241205012,50,78,안녕자원,233001130,36281.0,안녕자원,233001130.0,37.2096667,127.00046670000002,경기도 화성시,4117412.0
22094,153823,241205012,50,79,지킴이마을.타래치길,233001131,36273.0,지킴이마을.타래치길,233001131.0,37.207,126.9930167,경기도 화성시,4117413.0
22095,153824,241205012,50,80,융건릉,233001560,36263.0,융건릉,233001560.0,37.2076,126.9887,경기도 화성시,4151730.0
22096,153825,241205012,50,81,안녕4통입구,233002395,55270.0,안녕4통입구,233002395.0,37.2054,126.98541670000002,경기도 화성시,4115416.0
22097,153826,241205012,50,82,그린피아호텔,233000608,36228.0,그린피아호텔,233000608.0,37.2034333,126.98278329999998,경기도 화성시,4116667.0
22098,153827,241205012,50,83,남산공단입구,233000607,36246.0,남산공단입구,233000607.0,37.1989833,126.9843,경기도 화성시,4116665.0
22099,153828,241205012,50,84,편의점,233002535,55448.0,편의점,233002535.0,37.1966833,126.9818,경기도 화성시,4116661.0
22100,153829,241205012,50,85,수원과학대학,233000913,36212.0,수원과학대학,233000913.0,37.1932167,126.9798,경기도 화성시,4116664.0
22101,153830,241205012,50,86,대한적십자교육원,233002492,55447.0,대한적십자교육원,233002492.0,37.1965,126.9817167,경기도 화성시,4122718.0
22102,153831,241205012,50,87,남산공단입구,233000610,36249.0,남산공단입구,233000610.0,37.1992333,126.9844833,경기도 화성시,4116666.0
22104,153833,241205012,50,89,수기리아랫말,233000573,36197.0,수기리아랫말,233000573.0,37.1993667,126.9782,경기도 화성시,4117429.0
22106,153835,241205012,50,91,보통리입구,233000914,36158.0,보통리입구,233000914.0,37.1987,126.96925,경기도 화성시,4130147.0
22107,153836,241205012,50,92,수원신학교,233000572,36751.0,수원신학교,233000572.0,37.2030333,126.96441670000002,경기도 화성시,4170242.0
22108,153837,241205012,50,93,분천리.분천교회,233001654,37972.0,분천리.분천교회,233001654.0,37.2088,126.9595333,경기도 화성시,4107886.0
22109,153838,241205012,50,94,동화중학교,233001656,37970.0,동화중학교,233001656.0,37.21365,126.9612167,경기도 화성시,4107884.0
22110,153839,241205012,50,95,동화휴먼시아6단지,233001758,37762.0,동화휴먼시아6단지,233001758.0,37.2148333,126.96055,경기도 화성시,4130387.0
22111,153840,241205012,50,96,중심상가.화성고용센터,233001659,37765.0,중심상가.화성고용센터,233001659.0,37.2161,126.9591167,경기도 화성시,4131034.0
22112,153841,241205012,50,97,동화휴먼시아1단지.상봉초등학교,233002085,55062.0,동화휴먼시아1단지.상봉초등학교,233002085.0,37.2177,126.95645,경기도 화성시,4170498.0
22113,153842,241205012,50,98,봉담택지지구,233002087,37688.0,봉담택지지구,233002087.0,37.2199,126.9535,경기도 화성시,4130338.0
22116,153845,241205012,50,101,장안대학,233000833,36111.0,장안대학,233000833.0,37.2141,126.9437,경기도 화성시,4130157.0
22117,153846,241205012,50,102,왕림휴게소,233000832,36109.0,왕림휴게소,233000832.0,37.20446670000001,126.94275,경기도 화성시,4130159.0
22118,153847,241205012,50,103,아울렛패션몰,233000903,36099.0,아울렛패션몰,233000903.0,37.20005,126.9394833,경기도 화성시,4130161.0
22119,153848,241205012,50,104,수원여대혜란캠퍼스,233001312,36075.0,수원여대혜란캠퍼스,233001312.0,37.2026167,126.9330667,경기도 화성시,4130163.0
22121,153850,241205012,50,106,호현리.상기1리,233000564,36067.0,호현리.상기1리,233000564.0,37.2028667,126.9276,경기도 화성시,4130166.0
22122,153851,241205012,50,107,즘곰마을.상기1리,233000907,36064.0,즘곰마을.상기1리,233000907.0,37.2006667,126.9243667,경기도 화성시,4130168.0
22123,153852,241205012,50,108,상기2리입구,233000563,36060.0,상기2리입구,233000563.0,37.1994833,126.9192333,경기도 화성시,4130170.0
22124,153853,241205012,50,109,상기2리마을회관,233000908,36056.0,상기2리마을회관,233000908.0,37.19825,126.9150667,경기도 화성시,4117425.0
22125,153854,241205012,50,110,초당골앞,233000562,36055.0,초당골앞,233000562.0,37.1980833,126.9106333,경기도 화성시,4130174.0
22126,153855,241205012,50,111,기천저수지,233000910,37249.0,기천저수지,233000910.0,37.19375,126.9008833,경기도 화성시,4130176.0
22127,153856,241205012,50,112,청요1리,233000561,37233.0,청요1리,233000561.0,37.19955,126.8974333,경기도 화성시,4117422.0
22128,153857,241205012,50,113,청요리,233001313,37226.0,청요리,233001313.0,37.2031333,126.8953,경기도 화성시,4107862.0
22129,153858,241205012,50,114,청요3리,233000560,37212.0,청요3리,233000560.0,37.2007833,126.88608329999998,경기도 화성시,4107861.0
22131,153860,241205012,50,116,청요사거리,233000559,37197.0,청요사거리,233000559.0,37.1978833,126.8796,경기도 화성시,4130182.0
22132,153861,241205012,50,117,자안리,233000558,37192.0,자안리,233000558.0,37.198,126.87635,경기도 화성시,4130183.0
22135,153864,241205012,50,120,북양교차로,233000557,36053.0,북양교차로,233000557.0,37.2111833,126.8559833,경기도 화성시,4130185.0
22136,153865,241205012,50,121,북양산업단지,233002401,55345.0,북양산업단지,233002401.0,37.2155167,126.8513333,경기도 화성시,4121824.0
22137,153866,241205012,50,122,봉림사입구,233002164,55255.0,봉림사입구,233002164.0,37.2175667,126.84078329999998,경기도 화성시,4115251.0
22138,153867,241205012,50,123,북양2리,233000556,36041.0,북양2리,233000556.0,37.2177833,126.8358667,경기도 화성시,4130187.0
22139,153868,241205012,50,124,동수원남양병원,233000770,36030.0,동수원남양병원,233000770.0,37.2147333,126.8295167,경기도 화성시,4102899.0
22140,153869,241205012,50,125,남양읍행정복지센터,233000769,36026.0,남양읍주민센터,233000769.0,37.21195,126.8233667,경기도 화성시,4102897.0
22141,153870,241205012,50,126,남양사거리,233000768,36021.0,남양사거리,233000768.0,37.2094333,126.8191,경기도 화성시,4102895.0
22142,153871,241205012,50,127,기업은행,233001046,36018.0,기업은행,233001046.0,37.2081667,126.81885,경기도 화성시,4130397.0
22143,153872,241205012,50,128,남양중고입구.기아남양점,233001749,37774.0,남양중고교입구,233001749.0,37.20515,126.82106670000002,경기도 화성시,4170959.0
22144,153873,241205012,50,129,양우내안애,233002159,36024.0,남양뉴타운,233002159.0,37.202,126.82435,경기도 화성시,4119365.0
22145,153874,241205012,50,130,화성시청,233001435,36977.0,화성시청,233001435.0,37.1978,126.82865,경기도 화성시,4170691.0
22146,153875,241205012,50,131,공군부대입구,233000208,36034.0,공군부대입구,233000208.0,37.1957167,126.83171670000002,경기도 화성시,4130192.0
22147,153876,241205012,50,132,대광아파트,233001043,36039.0,대광아파트,233001043.0,37.19425,126.8336833,경기도 화성시,4130193.0
22148,153877,241205013,76,1,황계동입구,233000699,36323.0,황계동입구,233000699.0,37.2242833,127.0197,경기도 화성시,9117314.0
22149,153878,241205013,76,2,황계동,233000697,36321.0,황계동,233000697.0,37.21795,127.0195833,경기도 화성시,4117312.0
22150,153879,241205013,76,3,진안5통.병점육교,233000696,36336.0,진안5통.병점육교,233000696.0,37.2087333,127.03041670000002,경기도 화성시,4116694.0
22151,153880,241205013,76,4,병점역후문,233000695,36338.0,병점역후문,233000695.0,37.2069,127.03163329999998,경기도 화성시,4116695.0
22152,153881,241205013,76,5,유엔아이,233001921,37933.0,유엔아이,233001921.0,37.20325,127.0340833,경기도 화성시,4170339.0
22153,153882,241205013,76,6,한일타운아파트,233000097,36348.0,한일타운아파트,233000097.0,37.20025,127.03755,경기도 화성시,4116696.0
22154,153883,241205013,76,7,화성벌말초등학교,233002059,55036.0,화성벌말초등학교,233002059.0,37.2022333,127.0370333,경기도 화성시,4170482.0
22155,153884,241205013,76,8,효성헤링턴플레이스,233002061,55035.0,홈플러스,233002061.0,37.2034167,127.0358667,경기도 화성시,4170484.0
22156,153885,241205013,76,9,병점역,233002063,55031.0,병점역,233002063.0,37.2068667,127.0340333,경기도 화성시,4170486.0
22157,153886,241205013,76,10,신한에스빌아파트앞,233002098,55086.0,신한에스빌아파트앞,233002098.0,37.20896670000001,127.0395167,경기도 화성시,4170967.0
22158,153887,241205013,76,11,진안동,233000640,36355.0,진안동,233000640.0,37.2133667,127.04065,경기도 화성시,4130128.0
22160,153889,241205013,76,13,미득골마을,233002068,55038.0,미득골마을,233002068.0,37.2199833,127.03695,경기도 화성시,4170490.0
22161,153890,241205013,76,14,반정리,233002069,55032.0,반정리,233002069.0,37.2285333,127.03431670000002,경기도 화성시,4170491.0
22162,153891,241205013,76,15,목양교회,233002065,55033.0,목양교회,233002065.0,37.2355667,127.04115,경기도 화성시,4170489.0
22163,153892,241205013,76,16,반정리,233002070,55029.0,반정리,233002070.0,37.2284167,127.0341167,경기도 화성시,4170497.0
22165,153894,241205013,76,18,진안초교,233002147,55231.0,진안초교,233002147.0,37.2171667,127.03928329999998,경기도 화성시,4170350.0
22166,153895,241205013,76,19,진안동,233000671,36354.0,진안동,233000671.0,37.2130167,127.0393,경기도 화성시,4130129.0
22167,153896,241205013,76,20,태안119안전센터,233000687,37462.0,태안119안전센터,233000687.0,37.2111167,127.03853329999998,경기도 화성시,4170809.0
22168,153897,241205013,76,21,신한에스빌아파트,233000062,37352.0,신한에스빌아파트,233000062.0,37.2088167,127.0387833,경기도 화성시,4195534.0
22169,153898,241205013,76,22,동부출장소앞,233000676,36756.0,동부출장소앞,233000676.0,37.2080833,127.0361333,경기도 화성시,4170258.0
22170,153899,241205013,76,23,병점역,233002064,55034.0,병점역,233002064.0,37.2068333,127.03383329999998,경기도 화성시,4170487.0
22171,153900,241205013,76,24,홈플러스,233002062,55037.0,홈플러스,233002062.0,37.20305,127.0358667,경기도 화성시,4170485.0
22172,153901,241205013,76,25,화성벌말초등학교,233002060,55030.0,화성벌말초등학교,233002060.0,37.2021333,127.0368,경기도 화성시,4170483.0
22173,153902,241205013,76,26,한일타운아파트,233000098,36349.0,한일타운아파트,233000098.0,37.2003333,127.0377,경기도 화성시,4130130.0
22174,153903,241205013,76,27,유엔아이,233001920,37935.0,유엔아이,233001920.0,37.20385,127.03383329999998,경기도 화성시,4170340.0
22175,153904,241205013,76,28,병점역후문,233000701,36339.0,병점역후문,233000701.0,37.2068667,127.0318333,경기도 화성시,4130131.0
22176,153905,241205013,76,29,진안5통.병점육교,233000950,36337.0,진안5통.병점육교,233000950.0,37.2089833,127.03043329999998,경기도 화성시,4130132.0
22177,153906,241205013,76,30,황계동,233000700,36322.0,황계동,233000700.0,37.2182667,127.01965,경기도 화성시,4117313.0
22179,153908,241205014,77,2,화성중고등학교,233000526,37255.0,화성중고등학교,233000526.0,37.1380333,126.9054833,경기도 화성시,4130359.0
