"운수사","사업자ID","노선ID","노선번호","순번","정류소ID","정류소번호","정류소명","구간거리","위도","경도","TM_X","TM_Y"
"(화성)금오운수","4132400","41324004","27-2","15","4101605","37952","숲속자연앤","200","37.2072","127.0603833","205292.619236331","411706.910487715"
"(화성)금오운수","4132400","41324004","27-2","16","4170978","55147","능동은행사거리","295","37.2089","127.0618167","205420.85048873","411895.384941392"
"(화성)금오운수","4132400","41324004","27-2","17","4170272","37742","센트럴파크","229","37.20773333","127.0638333","205598.662336032","411765.114316081"
"(화성)금오운수","4132400","41324004","27-2","18","4170273","37741","금호어울림","267","37.20655","127.0664833","205835.161688927","411634.659584868"
"(화성)금오운수","4132400","41324004","27-2","19","4170974","36666","메타폴리스(중)","382","37.20426667","127.0674833","205922.874194831","411380.906528774"
"(화성)금오운수","4132400","41324004","27-2","20","4195716","37693","다은마을(중)","430","37.20038333","127.06735","205911.442496303","410950.19464774"
"(화성)금오운수","4132400","41324004","27-2","21","4170981","37584","새강마을.휴먼시아","557","37.19566667","127.0692","206077.088744467","410427.959458533"
"(화성)금오운수","4132400","41324004","27-2","22","4170980","37585","새강주공휴먼시아","345","37.19323333","127.0716167","206291.926250519","410156.594302448"
"(화성)금오운수","4132400","41324004","27-2","23","4170524","37721","새강주공휴먼시아","302","37.19171667","127.0705167","206194.419306167","409988.888719258"
"(화성)금오운수","4132400","41324004","27-2","24","4199600","37887","반송초중교","325","37.18993333","127.06965","206117.304726002","409790.050747711"
"(화성)금오운수","4132400","41324004","27-2","25","4198866","55272","나루고등학교","545","37.1868","127.0725833","206377.224701789","409443.344399764"
"(화성)금오운수","4132400","41324004","27-2","26","4199603","37890","나루고등학교","206","37.18815","127.0730833","206422.220873994","409593.112305402"
"(화성)금오운수","4132400","41324004","27-2","27","4199601","37888","반송초중교","381","37.19018333","127.0697","206120.739160569","409818.481755402"
"(화성)금오운수","4132400","41324004","27-2","28","4170517","37707","한화꿈에그린","405","37.19193333","127.0716667","206295.22988667","410012.173895733"
"(화성)금오운수","4132400","41324004","27-2","29","4197554","36675","쌍용예가","215","37.1935","127.0718","206308.255549606","410186.124522517"
"(화성)금오운수","4132400","41324004","27-2","30","4197590","36680","솔빛마을.서해.쌍용아파트","324","37.19581667","127.0696333","206113.084334651","410442.632573727"
"(화성)금오운수","4132400","41324004","27-2","31","4197464","36664","다은마을(중)","504","37.19998333","127.0675833","205932.10763188","410906.088410064"
"(화성)금오운수","4132400","41324004","27-2","32","4170973","36667","메타폴리스(중)","424","37.20373333","127.0675167","205926.274786239","411323.194506074"
"(화성)금오운수","4132400","41324004","27-2","33","4170400","37737","한화꿈에그린아파트","446","37.20681667","127.06655","205841.154007968","411664.973669428"
"(화성)금오운수","4132400","41324004","27-2","34","4170407","37703","센트럴파크","278","37.20803333","127.0639333","205605.759911958","411798.22728365"
