,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
185,자이파밀리에.LH29,금호어울림.계룡리슈빌,동탄호수공원,호수부영3차.우미린2차,나래학교,반도3.금강,의료시설부지,리베라CC,한화.린스트라우스,동탄역(동측),우남퍼스트빌,상록.테크노밸리.GS자이,한미약품.푸르지오,예당고사거리,전하리교회.우미제일,한림대병원(중),IT단지(중),삼성반도체후문,농서리,반월리큰고개,신영통현대타운.두산위브,빅마켓앞,동탄역(서측),린스트라우스.한화,공공청사부지,레이크빌.하우스디더레이크,우미린2차.호수부영3차,계룡리슈빌.금호어울림,LH29.자이파밀리에,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,병점역후문,유엔아이,한일타운아파트,성호아파트,우남아파트,서동탄역신일해피트리(중),모아미래도.우림필유.평생학습관(중),풍성신미주아파트(중),새강마을.휴먼시아,새강주공휴먼시아,나루마을.한화꿈에그린2차,탄요유적공원,에일린의뜰.중흥S클래스에코밸리,행복주택,동탄초교,리베라CC,한화.린스트라우스,동탄역(동측),롯데캐슬.포스코더샵,린스트라우스.한화,나루마을.월드반도,신도브레뉴아파트,쌍용예가,솔빛마을.서해.쌍용아파트,풍성신미주(중),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,동탄2차고지,한국제지,금호어울림.계룡리슈빌,아이파크.호수부영4차,아이파크.호수부영5차,호수공원행복주택.호수부영6차,호수부영1차,서희스타힐스.단독주택,창의고,한신더휴,베라체아파트,예솔초.호반2차.대원2차,신안2차.반도4차,모아.반도아파트,이주택지.상록.경남아파트,성원아파트.이지더원,동탄2파출소.농협,상록.테크노밸리.GS자이,우남퍼스트빌,동탄역(서측),포스코더샵.롯데캐슬,센트럴상록.동원1차,상록.경남아파트.이주택지,반도.모아아파트,대우푸르지오.호반베르디움2차,청목초.신안1차,동원로얄듀크2차,힐스테이트.호반5차,호수부영6차.호수공원행복주택,호수부영5차.아이파크,호수부영4차.아이파크,계룡리슈빌.금호어울림,레이크반도9차,동탄2아이파크1단지,동탄2아이파크2단지,호반6차,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,병점역,동부출장소.병점초등학교,병점화남아파트,진안동,롯데시네마,주공7.8단지,신미주아파트.주공6단지,풍성신미주,경남아너스빌,동탄3동행정복지센터,능동은행사거리,센트럴파크,금호어울림,메타폴리스(중),동탄홈플러스.다은마을삼성래미안,화성미디어센터,동탄보건지소.우체국,대우푸르지오.예당고등학교,예당고사거리,한미약품.푸르지오,상록.테크노밸리.GS자이,우남퍼스트빌,롯데캐슬.포스코더샵,린스트라우스.한화,리베라CC,공공청사부지,반도3.금강,레이크빌.하우스디더레이크,우미린2차.호수부영3차,동탄호수공원,계룡리슈빌.금호어울림,LH29.자이파밀리에,동탄2차고지,자이파밀리에.LH29,금호어울림.계룡리슈빌,호수부영3차.우미린2차,나래학교,의료시설부지,한화.린스트라우스,포스코더샵.롯데캐슬,동탄홈플러스,한화꿈에그린아파트,크리스찬교회,이지더원,밀알교회,신미주아파트앞,주공8단지,중심상가,병점사거리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,병점역,병점역사거리,홈플러스.벌말초교,성호아파트,우남아파트,서동탄역신일해피트리(중),모아미래도.우림필유.평생학습관(중),풍성신미주아파트(중),새강마을.휴먼시아,나루마을상가,솔빛동탄경남아너스빌,동탄복합문화센터,화성미디어센터,동탄보건지소.우체국,대우푸르지오.예당고등학교,예당고사거리,한미약품.푸르지오,센트럴상록.동원1차,동탄2파출소.농협,성원아파트.이지더원,상록.경남아파트.이주택지,반도.모아아파트,대우푸르지오.호반베르디움2차,청목초.신안1차,동원로얄듀크2차,힐스테이트.호반5차,창의고,서희스타힐스.단독주택,호수부영1차,호수부영6차.호수공원행복주택,호수부영5차.아이파크,호수부영4차.아이파크,계룡리슈빌.금호어울림,LH29.자이파밀리에,동탄2차고지,자이파밀리에.LH29,금호어울림.계룡리슈빌,아이파크.호수부영4차,아이파크.호수부영5차,호수공원행복주택.호수부영6차,한신더휴,베라체아파트,예솔초.호반2차.대원2차,신안2차.반도4차,모아.반도아파트,이주택지.상록.경남아파트,동원1차.센트럴상록,솔빛마을상가,쌍용예가,솔빛마을.서해.쌍용아파트,풍성신미주(중),송화초교.양우내안애,신창미션힐.송화초교,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,서동탄역,신일해피트리아파트,푸른마을.두산위브,나래울,모아미래도.자연앤,한마음초사거리,경남아너스빌,동탄3동행정복지센터,능동은행사거리,센트럴파크,금호어울림,메타폴리스,동탄보건지소.우체국,대우푸르지오.예당고등학교,예당고사거리,한미약품.푸르지오,상록.테크노밸리.GS자이,우남퍼스트빌.자이,계룡.영천초,금성백조.영천유,반도1차.경남,반도.모아아파트,반도유보라.대우푸르지오,호반베르디움.롯데캐슬,한화.호반.대원,한화꿈에그린,리베라CC,동탄초교,행복주택,에일린의뜰.중흥S클래스에코밸리,사랑의교회,노작마을,포스코정문앞,풍성신미주(중),모아미래도.우림필유.평생학습관(중),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,서동탄역,모아미래도.우림필유.평생학습관(중),풍성신미주아파트(중),월드반도.노작마을,월드반도,에일린의뜰.중흥S클래스에코밸리,행복주택,동탄초교,리베라CC,한화꿈에그린,한화.호반.대원,호반베르디움.롯데캐슬,대우푸르지오.반도유보라,신안2차.반도4차,모아.반도아파트,경남.반도1차,영천유.금성백조,영천초.계룡,자이.우남퍼스트빌,상록.테크노밸리.GS자이,한미약품.푸르지오,대우푸르지오.예당고등학교,동탄119안전센터,현대아이파크,한화꿈에그린아파트,센트럴파크,능동은행사거리,크리스찬교회,이지더원,한마음초사거리,모아미래도.자연앤,나래울,푸른마을.두산위브,신일해피트리아파트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,동탄역(동측),탄요유적공원삼거리(경유),서동탄역사거리(경유),병점역후문,화성벌말초(경유),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,화성시청,남양사거리,용건릉(경유),병점사거리,병점역후문,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,향남환승터미널,병점역후문,화성문화원.향남환승터미널,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
