정류소명,no
정남초등학교,45
세마역,2929
뉴코아백화점,38
송탄출장소,73
화서오거리,1573
행림마을.삼성래미안,502
한화꿈에그린2차,220
경기동부보훈지청,113
금호아파트.성원아파트,93
청명역4번출구,746
미금역.청솔마을.2001아울렛,2135
탑골1길,1214
동화휴먼시아2단지,356
망포블루밍.삼정라츠아파트,1235
구운동하이마트,683
보훈교육원,795
반정리,45
지역난방공사.신나무실쌍용아파트,1073
성빈센트병원,1050
영통입구,530
박지성삼거리,357
발안삼거리,932
고천.의왕시청,791
삼익3차아파트,1033
농수산물유통센터,742
롯데백화점.범계역,1099
신남1통,14
화성시청,25
대우푸르지오,386
경기남부지방경찰청.봉녕사입구,193
수원시평생학습관.우만주공아파트,1485
화성초교,97
수원시청역8번출구.씨네파크,2802
천천중학교,1099
주공4단지,690
래미안영통마크원2단지,872
여권민원실.풍림아파트,635
반송초중교,158
등기소.법원.대호초등학교,369
남촌오거리,237
서둔동주민센터,236
한일베라체.행정초교,108
신촌마을2단지.포스홈타운,115
홈플러스서수원점,402
창현고교.아주대학교.유신고교,474
영동시장,2609
상현역,143
풍덕고교.성원아파트.현대아파트.지역난방공사,309
상갈역,622
화서1동주민센터,133
호매실GS아파트,552
동부지구대.수원시장기요양지원센터.수병원,743
남한산성(종점),46
성남우체국,131
궐동,644
칠보마을5단지.가온마을3단지,972
경희대학교,1655
은계주공아파트.리버빌아파트,202
영통주공9단지,656
부천중학교,2
보정동주민센터,313
센트라우스,337
새터마을,485
백현마을3.4단지.화랑초등학교,821
수지구청역,3071
갈곶동.동부아파트,1919
오산시청.운암주공4단지,1169
용인운전면허시험장,240
남부경찰서.매원초교.성일아파트,576
벽산아파트,532
구성역3번출구,244
호계3동주민센터,768
범계사거리.호평지하도,764
원천주공2단지,570
평생교육학습관.남수원중학교,411
주공7단지앞,571
LG빌리지.두산기술원,230
SK매직.우림그린빌리지,244
로얄팰리스,900
아너스호텔,851
신곡동,441
수원중학교,74
성균관대학교,1223
2001아울렛,4529
세곡사거리,48
센트라우스,613
선일초등학교.수원아이파크시티,2943
수원시청역2번출구.벽산그랜드코아,922
능리교차로,890
청현마을입구,154
화성행궁.여민각,59
가재1리입구.자연샘,19
대우푸르지오.반도유보라,612
전하리교회.우미제일,1800
신미주아파트앞,459
분당경영고.청솔중,370
글로벌청소년드림센터.굿모닝하우스,950
주접지하도.삼익아파트,227
명학역,339
곡선새마을금고.권선자이e편한세상,747
경기소방본부,152
비상활주로.곡반정동입구,808
대림아파트,1342
곡반정동차고지(경유),35
우만신성아파트,773
무궁화전자,549
동수원우체국.삼성래미안,2526
쌍용예가,1584
산남중학교,74
황골벽산아파트,1877
서호중학교,139
세류1동주민센터,390
수원가구거리,192
꿈빛나래청소년문화의집,70
곡반초등학교,1180
태영아파트,611
능동주공단지,829
삼성전자,1033
지역난방공사.신나무실쌍용아파트,820
오산교통차고지,15
송원중학교.수원서부교회,502
서호초등학교,1424
청명호수마을,139
현대그린프라자,928
예솔초.호반2차.대원2차,963
이주택지.상록.경남아파트,2327
의왕지구대.글로벌도서관,912
에일린의뜰.포스코,117
신리천,116
한화꿈에그린아파트,372
태평양화학.삼성전자입구,1148
웃거리,621
매탄고등학교.매탄위브하늘채,685
황곡초등학교.주공아파트,415
남양사거리,1020
광교테크노밸리.푸르지오월드마크,677
신창2차아파트,348
미금역.청솔마을.2001아울렛,1485
처인구청.용인농협,70
와우농협앞,261
탑동초등학교.삼성아파트,955
경기도건설본부.경기도동물위생시험소.칠보마을7단지,547
남산공단입구,290
골사그네,48
풍산아파트.벽산아파트.힐스테이트,1786
호매실마을13단지.호매실도서관,180
주공5단지,708
능실초등학교,194
팔탄입구,18
하탑중학교,258
권선초등학교,549
IT단지(중),1918
필봉초교.신장동주민센터,605
대우아파트,664
삼성반도체,1808
예당고사거리,362
청명역6번출구.황골주공1단지,760
안산역,119
율현중학교,865
경기도인재개발원.경기연구원.경기도평생교육진흥원.경기도가족여성연구원,725
수일여중.대우건설기술연구원.경기도과학교육원,317
SK스카이뷰.다솔초등학교,621
